FlightID,Date,RouteID,Departure Delay,AircraftID,Scheduled Departure,Avg Ticket Price,Total Fare,Flight Month,Flight Year
Flight64,41918,ORD-PHX,3.1,38,5:30:00 PM,250.00,41250,10,2014
Flight65,42189,ORD-JFK,2.1,65,6:00:00 PM,275.00,49775,7,2015
Flight66,41681,ORD-MSP,1.8,124,5:00:00 PM,115.00,21275,2,2014
Flight67,42069,ORD-DTW,2.7,115,11:00:00 AM,115.00,21275,3,2015
Flight68,42132,ORD-PHL,2,77,8:00:00 AM,275.00,49775,5,2015
Flight69,42125,ORD-IAH,1.5,72,7:30:00 AM,200.00,36200,5,2015
Flight70,42083,ORD-PHX,1.6,12,9:30:00 AM,250.00,46250,3,2015
Flight71,41680,ORD-MIA,3.6,95,9:00:00 AM,300.00,55500,2,2014
Flight72,42245,ORD-IAD,2,143,8:00:00 PM,330.00,61050,8,2015
Flight73,41974,ORD-LAS,2.3,186,2:30:00 PM,275.00,45375,12,2014
Flight74,41803,ORD-EWR,1.2,52,8:00:00 AM,247.50,40838,6,2014
Flight75,41948,ORD-LAS,1.7,69,7:00:00 AM,275.00,49775,11,2014
Flight76,41769,ORD-LGA,1.7,86,5:00:00 PM,275.00,49775,5,2014
Flight77,41961,ORD-DFW,1,23,7:00:00 AM,200.00,37000,11,2014
Flight78,42306,ORD-SFO,1.1,121,5:00:00 PM,375.00,69375,10,2015
Flight79,41694,ORD-JFK,2.4,175,5:00:00 PM,250.00,41250,2,2014
Flight80,42309,ORD-SFO,2.2,146,7:30:00 AM,375.00,69375,11,2015
Flight81,41764,ORD-DFW,1.6,76,1:00:00 PM,200.00,36200,5,2014
Flight82,41802,ORD-SEA,3.3,70,6:00:00 PM,385.00,69685,6,2014
Flight83,42316,ORD-CLT,3.3,101,9:00:00 PM,125.00,23125,11,2015
Flight84,41995,ORD-BOS,3.2,203,12:00:00 PM,420.00,69300,12,2014
Flight85,41845,ORD-FLL,0.9,153,3:00:00 PM,330.00,54450,7,2014
Flight86,42335,ORD-MCO,6.3,187,7:30:00 PM,375.00,61875,11,2015
Flight87,42073,ORD-LGA,0.9,126,7:00:00 PM,275.00,50875,3,2015
Flight88,41807,ORD-LAS,2,116,7:30:00 PM,302.50,55963,6,2014
Flight89,42239,ORD-BOS,3.2,198,12:30:00 PM,330.00,54450,8,2015
Flight90,42110,ORD-MSP,0.7,136,7:00:00 AM,115.00,21275,4,2015
Flight91,41804,ORD-SFO,0.5,117,12:30:00 PM,412.50,76313,6,2014
Flight92,41677,ORD-ATL,12.3,15,5:00:00 PM,200.00,37000,2,2014
Flight93,42075,ORD-SEA,1.8,70,4:00:00 PM,350.00,63350,3,2015
Flight94,41704,ORD-SFO,2.3,187,6:00:00 PM,375.00,61875,3,2014
Flight95,41692,ORD-BOS,2.6,14,9:00:00 PM,300.00,55500,2,2014
Flight96,42240,ORD-EWR,3.6,138,7:00:00 AM,247.50,45788,8,2015
Flight97,41825,ORD-SEA,0.9,110,5:00:00 PM,385.00,71225,7,2014
Flight98,42202,ORD-ATL,10.3,34,5:30:00 PM,220.00,40700,7,2015
Flight99,42212,ORD-MIA,0.7,26,5:00:00 PM,330.00,61050,7,2015
Flight100,42251,ORD-IAH,1,204,9:30:00 PM,200.00,33000,9,2015
Flight101,41793,ORD-CLT,1.2,131,12:30:00 PM,137.50,25438,6,2014
Flight102,41972,ORD-MIA,7.1,90,11:00:00 AM,450.00,81450,11,2014
Flight103,41664,ORD-MSP,1.7,153,2:00:00 PM,115.00,18975,1,2014
Flight104,42144,ORD-IAD,2.5,51,7:00:00 PM,300.00,49500,5,2015
Flight105,41971,ORD-LAS,5.6,196,12:00:00 PM,412.50,68063,11,2014
Flight106,41967,ORD-CLT,4.6,43,4:00:00 PM,187.50,30938,11,2014
Flight107,42026,ORD-DFW,2.1,117,7:00:00 AM,200.00,37000,1,2015
Flight108,42164,ORD-CLT,1.3,29,11:00:00 AM,137.50,25438,6,2015
Flight109,41786,ORD-BOS,1.6,49,7:00:00 AM,300.00,49500,5,2014
Flight110,42058,ORD-LAX,3.8,83,1:00:00 PM,350.00,63350,2,2015
Flight111,42241,ORD-SEA,1.4,43,5:00:00 PM,385.00,63525,8,2015
Flight112,41981,ORD-ATL,9.1,32,11:00:00 AM,200.00,37000,12,2014
Flight113,41798,ORD-IAH,2.3,95,7:30:00 AM,220.00,40700,6,2014
Flight114,41982,ORD-LAS,2.6,122,10:00:00 AM,275.00,50875,12,2014
Flight115,42133,ORD-EWR,2.2,32,7:00:00 PM,225.00,41625,5,2015
Flight116,41906,ORD-LAX,4.7,140,4:00:00 PM,350.00,64750,9,2014
Flight117,42136,ORD-CLT,2.7,81,8:00:00 AM,125.00,22625,5,2015
Flight118,42049,ORD-DEN,1.3,115,9:00:00 AM,300.00,55500,2,2015
Flight119,41866,ORD-JFK,2.6,158,10:30:00 AM,275.00,45375,8,2014
Flight120,41674,ORD-SFO,1,21,5:30:00 PM,375.00,69375,2,2014
Flight121,41746,ORD-CLT,1.7,74,8:00:00 AM,125.00,22625,4,2014
Flight122,41969,ORD-ATL,14.8,38,8:30:00 AM,300.00,49500,11,2014
Flight123,41826,ORD-DEN,3,26,9:00:00 AM,330.00,61050,7,2014
Flight124,41978,ORD-DFW,1.8,131,7:00:00 AM,200.00,37000,12,2014
Flight125,42242,ORD-SEA,2.3,94,12:00:00 PM,385.00,71225,8,2015
Flight126,42248,ORD-DEN,1.1,183,11:30:00 AM,300.00,49500,9,2015
Flight127,41684,ORD-SEA,1.8,140,6:30:00 PM,350.00,64750,2,2014
Flight128,41874,ORD-LAX,5.6,110,7:00:00 PM,385.00,71225,8,2014
Flight129,42043,ORD-SFO,2.4,179,9:00:00 AM,375.00,61875,2,2015
Flight130,42013,ORD-PHX,2.1,204,8:00:00 AM,250.00,41250,1,2015
Flight131,41758,ORD-LGA,2.7,90,7:00:00 PM,275.00,49775,4,2014
Flight132,42035,ORD-ATL,9.4,13,3:30:00 PM,200.00,37000,1,2015
Flight133,42106,ORD-SFO,1.8,42,5:00:00 PM,375.00,61875,4,2015
Flight134,42132,ORD-FLL,1.4,142,8:00:00 PM,300.00,55500,5,2015
Flight135,41873,ORD-DFW,2.1,84,8:00:00 AM,220.00,39820,8,2014
Flight136,42352,ORD-MCO,2.9,23,3:30:00 PM,250.00,46250,12,2015
Flight137,42282,ORD-DFW,2.1,160,5:00:00 PM,200.00,33000,10,2015
Flight138,42220,ORD-LAS,2.1,25,10:00:00 AM,302.50,55963,8,2015
Flight139,41931,ORD-DFW,1.1,172,4:30:00 PM,200.00,33000,10,2014
Flight140,41652,ORD-MIA,2.6,45,8:00:00 AM,300.00,49500,1,2014
Flight141,41686,ORD-PHL,2.2,94,12:00:00 PM,275.00,50875,2,2014
Flight142,41881,ORD-CLT,1,75,7:00:00 PM,137.50,24888,8,2014
Flight143,41946,ORD-EWR,1,156,3:00:00 PM,225.00,37125,11,2014
Flight144,41877,ORD-SFO,1.5,137,10:00:00 AM,412.50,76313,8,2014
Flight145,42247,ORD-IAH,3,39,7:00:00 PM,220.00,36300,8,2015
Flight146,41751,ORD-CLT,3.5,202,9:00:00 PM,125.00,20625,4,2014
Flight147,42315,ORD-LAS,1.8,188,5:00:00 PM,275.00,45375,11,2015
Flight148,41886,ORD-LAX,3,117,7:30:00 AM,350.00,64750,9,2014
Flight149,41648,ORD-MSP,1.8,38,12:00:00 PM,115.00,18975,1,2014
Flight150,41996,ORD-DEN,2.3,104,6:30:00 PM,420.00,77700,12,2014
Flight151,42287,ORD-LGA,2.3,41,6:30:00 PM,275.00,45375,10,2015
Flight152,41837,ORD-LAX,6.2,165,8:00:00 AM,385.00,63525,7,2014
Flight153,42014,ORD-MIA,2.8,93,11:00:00 AM,300.00,55500,1,2015
Flight154,42027,ORD-PHX,2.8,50,6:30:00 PM,250.00,41250,1,2015
Flight155,42269,ORD-SEA,2.2,75,2:00:00 PM,350.00,63350,9,2015
Flight156,42135,ORD-SFO,2.1,179,10:30:00 AM,375.00,61875,5,2015
Flight157,42266,ORD-BWI,1.6,162,9:30:00 AM,240.00,39600,9,2015
Flight158,42255,ORD-PHL,2.9,205,5:00:00 PM,275.00,45375,9,2015
Flight159,41959,ORD-ATL,6.9,80,2:00:00 PM,200.00,36200,11,2014
Flight160,41841,ORD-PHX,2.2,112,2:00:00 PM,275.00,50875,7,2014
Flight161,41916,ORD-CLT,1.4,120,9:00:00 PM,125.00,23125,10,2014
Flight162,41902,ORD-CLT,0.7,185,5:00:00 PM,125.00,20625,9,2014
Flight163,41848,ORD-JFK,0.8,26,12:30:00 PM,275.00,50875,7,2014
Flight164,42080,ORD-MCO,2.6,87,6:00:00 PM,250.00,45250,3,2015
Flight165,41926,ORD-CLT,2.2,110,6:30:00 PM,125.00,23125,10,2014
Flight166,42337,ORD-DEN,4.4,152,7:00:00 PM,450.00,74250,11,2015
Flight167,42246,ORD-PHX,3.2,112,10:00:00 AM,275.00,50875,8,2015
Flight168,41987,ORD-PHX,2.3,84,8:00:00 AM,250.00,45250,12,2014
Flight169,41756,ORD-PHL,1.5,173,6:00:00 PM,275.00,45375,4,2014
Flight170,41747,ORD-DFW,2.4,204,4:30:00 PM,200.00,33000,4,2014
Flight171,42054,ORD-DFW,0.9,101,5:00:00 PM,200.00,37000,2,2015
Flight172,41809,ORD-PHX,2.5,128,9:00:00 PM,275.00,50875,6,2014
Flight173,41884,ORD-SFO,1.5,46,9:30:00 PM,375.00,61875,9,2014
Flight174,41953,ORD-DFW,2.1,35,9:00:00 AM,200.00,37000,11,2014
Flight175,42148,ORD-ATL,8.2,171,9:30:00 PM,200.00,33000,5,2015
Flight176,42305,ORD-ATL,8.1,134,8:00:00 PM,200.00,37000,10,2015
Flight177,42288,ORD-SFO,1,34,8:00:00 PM,375.00,69375,10,2015
Flight178,41792,ORD-SEA,1.1,142,9:00:00 PM,385.00,71225,6,2014
Flight179,42246,ORD-LAS,2.5,101,7:00:00 AM,302.50,55963,8,2015
Flight180,42150,ORD-JFK,1.6,16,7:00:00 AM,250.00,46250,5,2015
Flight181,42078,ORD-MSP,0.8,121,5:00:00 PM,115.00,21275,3,2015
Flight182,41770,ORD-PHX,1.5,198,5:30:00 PM,250.00,41250,5,2014
Flight183,42365,ORD-LAS,1.1,137,1:30:00 PM,385.00,71225,12,2015
Flight184,42203,ORD-DEN,2.6,26,7:30:00 PM,330.00,61050,7,2015
Flight185,41958,ORD-LAX,4.6,24,11:00:00 AM,350.00,64750,11,2014
Flight186,41645,ORD-ATL,8.4,36,10:00:00 AM,200.00,33000,1,2014
Flight187,41728,ORD-SEA,1.6,152,8:00:00 PM,350.00,57750,3,2014
Flight188,41868,ORD-DEN,2.5,206,5:00:00 PM,330.00,54450,8,2014
Flight189,42159,ORD-DFW,2.9,171,11:00:00 AM,220.00,36300,6,2015
Flight190,42210,ORD-DFW,2.2,145,6:00:00 PM,220.00,40700,7,2015
Flight191,42079,ORD-LAX,3.2,150,5:00:00 PM,350.00,64750,3,2015
Flight192,41707,ORD-PHX,2.6,117,11:00:00 AM,250.00,46250,3,2014
Flight193,42366,ORD-EWR,2.5,58,5:00:00 PM,225.00,37125,12,2015
Flight194,42114,ORD-PHL,1.9,182,3:30:00 PM,275.00,45375,4,2015
Flight195,41833,ORD-MSP,3.2,174,11:30:00 AM,126.50,20873,7,2014
Flight196,41843,ORD-LAS,2.2,21,7:00:00 PM,302.50,55963,7,2014
Flight197,41951,ORD-ATL,9.7,191,7:30:00 PM,200.00,33000,11,2014
Flight198,41667,ORD-IAH,1.7,68,7:30:00 PM,200.00,36200,1,2014
Flight199,41792,ORD-BOS,2.5,201,5:00:00 PM,330.00,54450,6,2014
Flight200,41983,ORD-ATL,8.3,205,6:00:00 PM,200.00,33000,12,2014
Flight201,42345,ORD-PHX,2.5,14,8:00:00 AM,250.00,46250,12,2015
Flight202,41669,ORD-JFK,2.7,28,8:30:00 AM,250.00,46250,1,2014
Flight203,42000,ORD-PHX,5.1,180,6:00:00 PM,350.00,57750,12,2014
Flight204,42313,ORD-DFW,3.1,193,3:00:00 PM,200.00,33000,11,2015
Flight205,41890,ORD-JFK,1.7,197,5:00:00 PM,250.00,41250,9,2014
Flight206,42001,ORD-DFW,5.5,139,5:00:00 PM,280.00,51800,12,2014
Flight207,41646,ORD-CLT,2.7,137,8:00:00 AM,125.00,23125,1,2014
Flight208,41910,ORD-MIA,2.4,88,2:00:00 PM,300.00,54300,9,2014
Flight209,42044,ORD-IAH,1.4,73,5:30:00 PM,200.00,36200,2,2015
Flight210,42076,ORD-JFK,2.9,171,8:00:00 AM,250.00,41250,3,2015
Flight211,42255,ORD-SFO,1.8,190,7:30:00 PM,375.00,61875,9,2015
Flight212,41704,ORD-JFK,2.4,106,8:00:00 PM,250.00,46250,3,2014
Flight213,41943,ORD-IAH,2.3,72,11:00:00 AM,200.00,36200,10,2014
Flight214,41843,ORD-CLT,3.7,204,5:00:00 PM,137.50,22688,7,2014
Flight215,42330,ORD-MIA,1.6,205,6:00:00 PM,300.00,49500,11,2015
Flight216,41848,ORD-MIA,3.8,70,12:00:00 PM,330.00,59730,7,2014
Flight217,41929,ORD-JFK,1.1,172,5:30:00 PM,250.00,41250,10,2014
Flight218,42256,ORD-MSP,1.9,176,8:00:00 PM,115.00,18975,9,2015
Flight219,41961,ORD-CLT,2.6,137,6:30:00 PM,125.00,23125,11,2014
Flight220,42267,ORD-IAH,0.9,170,6:30:00 PM,200.00,33000,9,2015
Flight221,41738,ORD-MCO,1.8,138,8:30:00 PM,250.00,46250,4,2014
Flight222,42358,ORD-ATL,5.8,139,2:30:00 PM,200.00,37000,12,2015
Flight223,41782,ORD-CLT,2,156,2:00:00 PM,125.00,20625,5,2014
Flight224,41844,ORD-MCO,1,51,6:00:00 PM,275.00,45375,7,2014
Flight225,42293,ORD-LAX,3.1,11,7:30:00 AM,350.00,64750,10,2015
Flight226,41871,ORD-LAX,3.5,6,7:00:00 AM,385.00,71225,8,2014
Flight227,41995,ORD-JFK,2.8,30,7:00:00 AM,350.00,64750,12,2014
Flight228,41847,ORD-JFK,2,8,8:30:00 PM,275.00,50875,7,2014
Flight229,41864,ORD-IAH,2.9,177,3:30:00 PM,220.00,36300,8,2014
Flight230,42337,ORD-DFW,5.8,9,8:00:00 PM,300.00,55500,11,2015
Flight231,42194,ORD-PHL,2.1,176,7:00:00 PM,302.50,49913,7,2015
Flight232,41796,ORD-LGA,2.3,166,7:00:00 PM,302.50,49913,6,2014
Flight233,41966,ORD-MSP,2.9,118,8:00:00 AM,115.00,21275,11,2014
Flight234,42335,ORD-LAX,10.3,190,7:30:00 PM,525.00,86625,11,2015
Flight235,42109,ORD-LAS,3.2,125,5:00:00 PM,275.00,50875,4,2015
Flight236,41694,ORD-IAH,2.3,122,6:30:00 PM,200.00,37000,2,2014
Flight237,42086,ORD-PHX,2.1,97,6:00:00 PM,250.00,46250,3,2015
Flight238,42365,ORD-CLT,7.4,182,8:00:00 AM,175.00,28875,12,2015
Flight239,42237,ORD-ATL,4.7,181,4:00:00 PM,220.00,36300,8,2015
Flight240,41960,ORD-FLL,1.9,100,5:00:00 PM,300.00,55500,11,2014
Flight241,41712,ORD-PHX,2.3,146,9:00:00 PM,250.00,46250,3,2014
Flight242,42203,ORD-MIA,3.1,103,3:00:00 PM,330.00,61050,7,2015
Flight243,42242,ORD-FLL,1.9,111,8:30:00 AM,330.00,61050,8,2015
Flight244,42211,ORD-LAS,1.6,54,8:30:00 PM,302.50,49913,7,2015
Flight245,41932,ORD-MIA,1.2,157,10:00:00 AM,300.00,49500,10,2014
Flight246,41998,ORD-BOS,4.7,33,5:00:00 PM,420.00,77700,12,2014
Flight247,42292,ORD-DEN,3.6,88,7:30:00 AM,300.00,54300,10,2015
Flight248,42225,ORD-LAX,6.3,190,10:30:00 AM,385.00,63525,8,2015
Flight249,42188,ORD-SFO,2,176,11:00:00 AM,412.50,68063,7,2015
Flight250,42187,ORD-DFW,2.8,37,1:00:00 PM,220.00,36300,7,2015
Flight251,41771,ORD-EWR,2.3,41,8:30:00 AM,225.00,37125,5,2014
Flight252,41973,ORD-PHL,3.6,173,7:00:00 AM,412.50,68063,11,2014
Flight253,41773,ORD-SEA,1.9,150,11:30:00 AM,350.00,64750,5,2014
Flight254,41672,ORD-DEN,1.9,43,5:00:00 PM,300.00,49500,2,2014
Flight255,42189,ORD-SFO,2.9,135,7:30:00 PM,412.50,76313,7,2015
Flight256,42189,ORD-JFK,3.5,64,7:30:00 PM,275.00,49775,7,2015
Flight257,41869,ORD-ATL,5.7,132,5:00:00 PM,220.00,40700,8,2014
Flight258,41849,ORD-JFK,1.7,29,7:30:00 PM,275.00,50875,7,2014
Flight259,42357,ORD-ATL,7.2,10,11:00:00 AM,200.00,37000,12,2015
Flight260,41881,ORD-LGA,1.6,9,7:30:00 AM,302.50,55963,8,2014
Flight261,42301,ORD-ATL,8.4,122,8:00:00 AM,200.00,37000,10,2015
Flight262,41739,ORD-DEN,0.5,85,7:00:00 AM,300.00,54300,4,2014
Flight263,42075,ORD-SEA,2.7,151,10:00:00 AM,350.00,64750,3,2015
Flight264,41949,ORD-DFW,1.3,6,7:30:00 PM,200.00,37000,11,2014
Flight265,42331,ORD-MIA,5.7,71,10:00:00 AM,450.00,81450,11,2015
Flight266,41870,ORD-EWR,1.6,146,7:30:00 AM,247.50,45788,8,2014
Flight267,42040,ORD-JFK,2.1,166,7:00:00 AM,250.00,41250,2,2015
Flight268,41769,ORD-ATL,10,160,7:00:00 AM,200.00,33000,5,2014
Flight269,42055,ORD-JFK,1.6,74,8:30:00 PM,250.00,45250,2,2015
Flight270,41968,ORD-SFO,4.8,35,7:30:00 PM,562.50,104063,11,2014
Flight271,41895,ORD-SEA,2.4,17,12:30:00 PM,350.00,64750,9,2014
Flight272,41759,ORD-PHX,1,55,6:00:00 PM,250.00,41250,4,2014
Flight273,41969,ORD-ATL,21.3,187,4:00:00 PM,300.00,49500,11,2014
Flight274,42161,ORD-DFW,2.2,135,4:30:00 PM,220.00,40700,6,2015
Flight275,41730,ORD-DEN,3.2,21,8:00:00 AM,300.00,55500,4,2014
Flight276,41949,ORD-IAH,1.4,114,8:00:00 PM,200.00,37000,11,2014
Flight277,41726,ORD-LAS,2.3,196,5:00:00 PM,275.00,45375,3,2014
Flight278,41972,ORD-DFW,3.1,190,1:00:00 PM,300.00,49500,11,2014
Flight279,41774,ORD-CLT,2,46,8:00:00 AM,125.00,20625,5,2014
Flight280,42215,ORD-DTW,2.7,80,6:00:00 PM,126.50,22897,7,2015
Flight281,42254,ORD-DFW,1.9,60,7:00:00 PM,200.00,33000,9,2015
Flight282,41735,ORD-MIA,2.1,172,8:00:00 PM,300.00,49500,4,2014
Flight283,41970,ORD-SEA,7.4,52,8:30:00 AM,525.00,86625,11,2014
Flight284,42278,ORD-LAS,1.6,156,7:00:00 PM,275.00,45375,10,2015
Flight285,42103,ORD-DEN,3.2,111,4:00:00 PM,300.00,55500,4,2015
Flight286,42110,ORD-LAX,5.6,47,7:00:00 PM,350.00,57750,4,2015
Flight287,42180,ORD-SEA,1.5,134,6:00:00 PM,385.00,71225,6,2015
Flight288,41842,ORD-JFK,2.4,21,7:00:00 AM,275.00,50875,7,2014
Flight289,41968,ORD-CLT,5,32,3:30:00 PM,187.50,34688,11,2014
Flight290,41780,ORD-SFO,1.6,93,9:00:00 PM,375.00,69375,5,2014
Flight291,42166,ORD-EWR,3.6,31,7:30:00 PM,247.50,45788,6,2015
Flight292,41740,ORD-ATL,8.8,68,6:00:00 PM,200.00,36200,4,2014
Flight293,41995,ORD-ATL,15.5,162,7:00:00 PM,280.00,46200,12,2014
Flight294,42155,ORD-MSP,1.8,174,7:30:00 AM,115.00,18975,5,2015
Flight295,42254,ORD-ATL,6.1,15,2:00:00 PM,200.00,37000,9,2015
Flight296,42301,ORD-LAS,2.8,85,6:00:00 PM,275.00,49775,10,2015
Flight297,41796,ORD-ATL,6.8,139,5:00:00 PM,220.00,40700,6,2014
Flight298,42353,ORD-ATL,11.5,110,7:00:00 AM,200.00,37000,12,2015
Flight299,42026,ORD-JFK,0.5,53,1:30:00 PM,250.00,41250,1,2015
Flight300,41803,ORD-PHX,1.7,207,11:00:00 AM,275.00,45375,6,2014
Flight301,41972,ORD-JFK,5.6,171,5:00:00 PM,375.00,61875,11,2014
Flight302,42152,ORD-LAS,2.5,113,1:00:00 PM,275.00,50875,5,2015
Flight303,41787,ORD-MIA,3.1,148,6:00:00 PM,300.00,55500,5,2014
Flight304,41981,ORD-CLT,1.3,20,10:00:00 AM,125.00,23125,12,2014
Flight305,42291,ORD-DEN,2.9,66,4:00:00 PM,300.00,54300,10,2015
Flight306,41966,ORD-SFO,1.2,174,7:00:00 AM,375.00,61875,11,2014
Flight307,41977,ORD-PHL,1.3,132,9:30:00 PM,275.00,50875,12,2014
Flight308,41677,ORD-LAX,6,102,5:00:00 PM,350.00,64750,2,2014
Flight309,41968,ORD-DEN,5.5,90,9:00:00 AM,450.00,81450,11,2014
Flight310,42246,ORD-DEN,1.4,81,8:00:00 PM,330.00,59730,8,2015
Flight311,42182,ORD-MSP,2.2,31,4:00:00 PM,126.50,23403,6,2015
Flight312,41913,ORD-SFO,2.4,143,6:00:00 PM,375.00,69375,10,2014
Flight313,41989,ORD-BOS,2.2,23,5:00:00 PM,300.00,55500,12,2014
Flight314,41779,ORD-SEA,2.3,135,9:00:00 PM,350.00,64750,5,2014
Flight315,42210,ORD-DEN,1.8,91,10:30:00 AM,330.00,61050,7,2015
Flight316,41969,ORD-BOS,4.4,70,10:00:00 AM,450.00,81450,11,2014
Flight317,42203,ORD-SEA,1.7,104,2:00:00 PM,385.00,71225,7,2015
Flight318,42219,ORD-MIA,2.5,71,6:00:00 PM,330.00,59730,8,2015
Flight319,41773,ORD-MSP,1.6,15,7:00:00 AM,115.00,21275,5,2014
Flight320,41889,ORD-SEA,3.4,51,3:30:00 PM,350.00,57750,9,2014
Flight321,42301,ORD-ATL,8.6,175,7:00:00 AM,200.00,33000,10,2015
Flight322,41712,ORD-DFW,2.1,45,2:30:00 PM,200.00,33000,3,2014
Flight323,41869,ORD-SEA,2.7,101,5:30:00 PM,385.00,71225,8,2014
Flight324,42048,ORD-JFK,2.3,5,5:00:00 PM,250.00,46250,2,2015
