Segments,VariableName,VariableCount
Young Upscale Families,"Has Residential Insurance, 2 Policies ",419509
Elder Midscale Class,"Has Residential Insurance, 2 Policies ",264051
Comfortable Retirees,"Has Residential Insurance, 2 Policies ",157356
Mass Markets,"Has Residential Insurance, 2 Policies ",453861
Young Urban Masses,"Has Residential Insurance, 2 Policies ",215183
Diverse Workers,"Has Residential Insurance, 2 Policies ",271168
Modest Families,"Has Residential Insurance, 2 Policies ",148304
Well-heeled Affluents,"Has Residential Insurance, All Policies (Total Premium) ",2527924
Prosperous Acheivers,"Has Residential Insurance, All Policies (Total Premium) ",3461788
Young Affluent Mobiles,"Has Residential Insurance, All Policies (Total Premium) ",4614521
Upscale Matures,"Has Residential Insurance, All Policies (Total Premium) ",2818531
Elite Households,"Has Residential Insurance, All Policies (Total Premium) ",3419722
Young Upscale Families,"Has Residential Insurance, All Policies (Total Premium) ",5596284
Elder Midscale Class,"Has Residential Insurance, All Policies (Total Premium) ",4445147
Comfortable Retirees,"Has Residential Insurance, All Policies (Total Premium) ",2676750
Mass Markets,"Has Residential Insurance, All Policies (Total Premium) ",6941661
Young Urban Masses,"Has Residential Insurance, All Policies (Total Premium) ",2960133
Diverse Workers,"Has Residential Insurance, All Policies (Total Premium) ",5559193
Modest Families,"Has Residential Insurance, All Policies (Total Premium) ",1235216
Well-heeled Affluents,"Has Residential Insurance, Any Continuous Policy: <1 Year ",150090
Prosperous Acheivers,"Has Residential Insurance, Any Continuous Policy: <1 Year ",200562
Young Affluent Mobiles,"Has Residential Insurance, Any Continuous Policy: <1 Year ",613277
Upscale Matures,"Has Residential Insurance, Any Continuous Policy: <1 Year ",227826
Elite Households,"Has Residential Insurance, Any Continuous Policy: <1 Year ",272968
Young Upscale Families,"Has Residential Insurance, Any Continuous Policy: <1 Year ",417702
Elder Midscale Class,"Has Residential Insurance, Any Continuous Policy: <1 Year ",309258
Comfortable Retirees,"Has Residential Insurance, Any Continuous Policy: <1 Year ",200740
Mass Markets,"Has Residential Insurance, Any Continuous Policy: <1 Year ",726950
Young Urban Masses,"Has Residential Insurance, Any Continuous Policy: <1 Year ",596715
Diverse Workers,"Has Residential Insurance, Any Continuous Policy: <1 Year ",565875
Modest Families,"Has Residential Insurance, Any Continuous Policy: <1 Year ",370748
Well-heeled Affluents,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",1037946
Prosperous Acheivers,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",1394824
Young Affluent Mobiles,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",1700263
Upscale Matures,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",1231177
Elite Households,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",1328398
Young Upscale Families,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",2366870
Elder Midscale Class,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",1967629
Comfortable Retirees,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",1224431
Mass Markets,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",2728499
Young Urban Masses,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",998181
Diverse Workers,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",2337590
Modest Families,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",387029
Well-heeled Affluents,"Has Residential Insurance, Satisfied with Primary Company ",2169894
Prosperous Acheivers,"Has Residential Insurance, Satisfied with Primary Company ",2964946
Young Affluent Mobiles,"Has Residential Insurance, Satisfied with Primary Company ",3679318
Upscale Matures,"Has Residential Insurance, Satisfied with Primary Company ",2427970
Elite Households,"Has Residential Insurance, Satisfied with Primary Company ",2875644
Young Upscale Families,"Has Residential Insurance, Satisfied with Primary Company ",4722951
Elder Midscale Class,"Has Residential Insurance, Satisfied with Primary Company ",3917115
Comfortable Retirees,"Has Residential Insurance, Satisfied with Primary Company ",2322267
Mass Markets,"Has Residential Insurance, Satisfied with Primary Company ",5786246
Young Urban Masses,"Has Residential Insurance, Satisfied with Primary Company ",2461052
Diverse Workers,"Has Residential Insurance, Satisfied with Primary Company ",4467268
Modest Families,"Has Residential Insurance, Satisfied with Primary Company ",909679
Well-heeled Affluents,"Has Residential Insurance, Switch Reason: Better Reputation ",63283
Prosperous Acheivers,"Has Residential Insurance, Switch Reason: Better Reputation ",30722
Young Affluent Mobiles,"Has Residential Insurance, Switch Reason: Better Reputation ",181002
Upscale Matures,"Has Residential Insurance, Switch Reason: Better Reputation ",18081
Elite Households,"Has Residential Insurance, Switch Reason: Better Reputation ",135583
Young Upscale Families,"Has Residential Insurance, Switch Reason: Better Reputation ",202500
Elder Midscale Class,"Has Residential Insurance, Switch Reason: Better Reputation ",61493
Comfortable Retirees,"Has Residential Insurance, Switch Reason: Better Reputation ",16282
Mass Markets,"Has Residential Insurance, Switch Reason: Better Reputation ",291126
Young Urban Masses,"Has Residential Insurance, Switch Reason: Better Reputation ",110302
Diverse Workers,"Has Residential Insurance, Switch Reason: Better Reputation ",142793
Modest Families,"Has Residential Insurance, Switch Reason: Better Reputation ",75958
Well-heeled Affluents,"Has Residential Insurance, Switch Reason: Combined Policy ",77757
Prosperous Acheivers,"Has Residential Insurance, Switch Reason: Combined Policy ",72273
Young Affluent Mobiles,"Has Residential Insurance, Switch Reason: Combined Policy ",137493
Upscale Matures,"Has Residential Insurance, Switch Reason: Combined Policy ",84979
Elite Households,"Has Residential Insurance, Switch Reason: Combined Policy ",106636
Young Upscale Families,"Has Residential Insurance, Switch Reason: Combined Policy ",173586
Elder Midscale Class,"Has Residential Insurance, Switch Reason: Combined Policy ",117547
Comfortable Retirees,"Has Residential Insurance, Switch Reason: Combined Policy ",101269
Mass Markets,"Has Residential Insurance, Switch Reason: Combined Policy ",155513
Young Urban Masses,"Has Residential Insurance, Switch Reason: Combined Policy ",68716
Diverse Workers,"Has Residential Insurance, Switch Reason: Combined Policy ",146429
Modest Families,"Has Residential Insurance, Switch Reason: Combined Policy ",34365
Well-heeled Affluents,"Has Residential Insurance, Switch Reason: Lower Price ",271235
Prosperous Acheivers,"Has Residential Insurance, Switch Reason: Lower Price ",384872
Young Affluent Mobiles,"Has Residential Insurance, Switch Reason: Lower Price ",671200
Upscale Matures,"Has Residential Insurance, Switch Reason: Lower Price ",379662
Elite Households,"Has Residential Insurance, Switch Reason: Lower Price ",428399
Young Upscale Families,"Has Residential Insurance, Switch Reason: Lower Price ",764901
Elder Midscale Class,"Has Residential Insurance, Switch Reason: Lower Price ",508166
Comfortable Retirees,"Has Residential Insurance, Switch Reason: Lower Price ",262272
Mass Markets,"Has Residential Insurance, Switch Reason: Lower Price ",875187
Young Urban Masses,"Has Residential Insurance, Switch Reason: Lower Price ",314645
Diverse Workers,"Has Residential Insurance, Switch Reason: Lower Price ",647172
Modest Families,"Has Residential Insurance, Switch Reason: Lower Price ",175429
Well-heeled Affluents,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",106682
Prosperous Acheivers,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",106600
Young Affluent Mobiles,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",204527
Upscale Matures,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",65079
Elite Households,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",178963
Young Upscale Families,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",296523
Elder Midscale Class,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",122985
Comfortable Retirees,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",50657
Mass Markets,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",370689
Young Urban Masses,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",108492
Diverse Workers,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",218733
Modest Families,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",92242
Well-heeled Affluents,"Has Residential Insurance, Switch Reason: Moved ",39785
Prosperous Acheivers,"Has Residential Insurance, Switch Reason: Moved ",45173
Young Affluent Mobiles,"Has Residential Insurance, Switch Reason: Moved ",162811
Upscale Matures,"Has Residential Insurance, Switch Reason: Moved ",65079
Elite Households,"Has Residential Insurance, Switch Reason: Moved ",66875
Young Upscale Families,"Has Residential Insurance, Switch Reason: Moved ",142872
Elder Midscale Class,"Has Residential Insurance, Switch Reason: Moved ",126591
Comfortable Retirees,"Has Residential Insurance, Switch Reason: Moved ",63287
Mass Markets,"Has Residential Insurance, Switch Reason: Moved ",169989
Young Urban Masses,"Has Residential Insurance, Switch Reason: Moved ",151889
Diverse Workers,"Has Residential Insurance, Switch Reason: Moved ",122932
Modest Families,"Has Residential Insurance, Switch Reason: Moved ",50643
Well-heeled Affluents,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",2023426
Prosperous Acheivers,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",2867345
Young Affluent Mobiles,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",3425797
Upscale Matures,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",2236373
Elite Households,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",2617116
Young Upscale Families,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",4270852
Elder Midscale Class,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",3568051
Comfortable Retirees,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",2206507
Mass Markets,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",5290744
Young Urban Masses,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",2251301
Diverse Workers,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",4313650
Modest Families,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",839126
Well-heeled Affluents,"Has Residential Insurance, Type: Condo/Co-Op ",285685
Prosperous Acheivers,"Has Residential Insurance, Type: Condo/Co-Op ",433621
Young Affluent Mobiles,"Has Residential Insurance, Type: Condo/Co-Op ",417863
Upscale Matures,"Has Residential Insurance, Type: Condo/Co-Op ",321797
Elite Households,"Has Residential Insurance, Type: Condo/Co-Op ",222297
Young Upscale Families,"Has Residential Insurance, Type: Condo/Co-Op ",339916
Elder Midscale Class,"Has Residential Insurance, Type: Condo/Co-Op ",383362
Comfortable Retirees,"Has Residential Insurance, Type: Condo/Co-Op ",160973
Mass Markets,"Has Residential Insurance, Type: Condo/Co-Op ",377891
Young Urban Masses,"Has Residential Insurance, Type: Condo/Co-Op ",115722
Diverse Workers,"Has Residential Insurance, Type: Condo/Co-Op ",381425
Modest Families,"Has Residential Insurance, Type: Condo/Co-Op ",92239
Well-heeled Affluents,"Has Residential Insurance, Type: Homeowners ",2269352
Prosperous Acheivers,"Has Residential Insurance, Type: Homeowners ",3022740
Young Affluent Mobiles,"Has Residential Insurance, Type: Homeowners ",3299420
Upscale Matures,"Has Residential Insurance, Type: Homeowners ",2500342
Elite Households,"Has Residential Insurance, Type: Homeowners ",3012992
Young Upscale Families,"Has Residential Insurance, Type: Homeowners ",4818703
Elder Midscale Class,"Has Residential Insurance, Type: Homeowners ",3524635
Comfortable Retirees,"Has Residential Insurance, Type: Homeowners ",2109020
Mass Markets,"Has Residential Insurance, Type: Homeowners ",5995722
Young Urban Masses,"Has Residential Insurance, Type: Homeowners ",455675
Diverse Workers,"Has Residential Insurance, Type: Homeowners ",4255488
Modest Families,"Has Residential Insurance, Type: Homeowners ",320122
Well-heeled Affluents,"Has Residential Insurance, Type: Renters ",124775
Prosperous Acheivers,"Has Residential Insurance, Type: Renters ",198769
Young Affluent Mobiles,"Has Residential Insurance, Type: Renters ",1087232
Upscale Matures,"Has Residential Insurance, Type: Renters ",81385
Elite Households,"Has Residential Insurance, Type: Renters ",390455
Young Upscale Families,"Has Residential Insurance, Type: Renters ",604016
Elder Midscale Class,"Has Residential Insurance, Type: Renters ",604064
Comfortable Retirees,"Has Residential Insurance, Type: Renters ",448381
Mass Markets,"Has Residential Insurance, Type: Renters ",754297
Young Urban Masses,"Has Residential Insurance, Type: Renters ",2488184
Diverse Workers,"Has Residential Insurance, Type: Renters ",1036159
Modest Families,"Has Residential Insurance, Type: Renters ",920520
Well-heeled Affluents,Home Office: Do Not Have an Office Set-Up at Home ,247032
Prosperous Acheivers,Home Office: Do Not Have an Office Set-Up at Home ,287654
Young Affluent Mobiles,Home Office: Do Not Have an Office Set-Up at Home ,737235
Upscale Matures,Home Office: Do Not Have an Office Set-Up at Home ,114860
Elite Households,Home Office: Do Not Have an Office Set-Up at Home ,418549
Young Upscale Families,Home Office: Do Not Have an Office Set-Up at Home ,805206
Elder Midscale Class,Home Office: Do Not Have an Office Set-Up at Home ,239274
Comfortable Retirees,Home Office: Do Not Have an Office Set-Up at Home ,62263
Mass Markets,Home Office: Do Not Have an Office Set-Up at Home ,1295695
Young Urban Masses,Home Office: Do Not Have an Office Set-Up at Home ,1135961
Diverse Workers,Home Office: Do Not Have an Office Set-Up at Home ,954451
Modest Families,Home Office: Do Not Have an Office Set-Up at Home ,436796
Well-heeled Affluents,Home Office: Have an Office Set-Up at Home ,178402
Prosperous Acheivers,Home Office: Have an Office Set-Up at Home ,156480
Young Affluent Mobiles,Home Office: Have an Office Set-Up at Home ,393708
Upscale Matures,Home Office: Have an Office Set-Up at Home ,58280
Elite Households,Home Office: Have an Office Set-Up at Home ,296954
Young Upscale Families,Home Office: Have an Office Set-Up at Home ,314131
Elder Midscale Class,Home Office: Have an Office Set-Up at Home ,79623
Comfortable Retirees,Home Office: Have an Office Set-Up at Home ,8782
Mass Markets,Home Office: Have an Office Set-Up at Home ,281385
Young Urban Masses,Home Office: Have an Office Set-Up at Home ,187808
Diverse Workers,Home Office: Have an Office Set-Up at Home ,105454
Modest Families,Home Office: Have an Office Set-Up at Home ,31802
Well-heeled Affluents,Home Office: Primarily Work From Home ,63218
Prosperous Acheivers,Home Office: Primarily Work From Home ,56941
Young Affluent Mobiles,Home Office: Primarily Work From Home ,115347
Upscale Matures,Home Office: Primarily Work From Home ,30682
Elite Households,Home Office: Primarily Work From Home ,90873
Young Upscale Families,Home Office: Primarily Work From Home ,100004
Elder Midscale Class,Home Office: Primarily Work From Home ,44420
Comfortable Retirees,Home Office: Primarily Work From Home ,10113
Mass Markets,Home Office: Primarily Work From Home ,109953
Young Urban Masses,Home Office: Primarily Work From Home ,95297
Diverse Workers,Home Office: Primarily Work From Home ,92414
Modest Families,Home Office: Primarily Work From Home ,29689
Well-heeled Affluents,Home Office: Primarily Work Out of an Office or Company Location ,362215
Prosperous Acheivers,Home Office: Primarily Work Out of an Office or Company Location ,387255
Young Affluent Mobiles,Home Office: Primarily Work Out of an Office or Company Location ,1015294
Upscale Matures,Home Office: Primarily Work Out of an Office or Company Location ,143158
Elite Households,Home Office: Primarily Work Out of an Office or Company Location ,624630
Young Upscale Families,Home Office: Primarily Work Out of an Office or Company Location ,1019620
Elder Midscale Class,Home Office: Primarily Work Out of an Office or Company Location ,274815
Comfortable Retirees,Home Office: Primarily Work Out of an Office or Company Location ,60499
Mass Markets,Home Office: Primarily Work Out of an Office or Company Location ,1467435
Young Urban Masses,Home Office: Primarily Work Out of an Office or Company Location ,1228419
Diverse Workers,Home Office: Primarily Work Out of an Office or Company Location ,967884
Modest Families,Home Office: Primarily Work Out of an Office or Company Location ,438094
Well-heeled Affluents,Household Composition: 1 Adult- Children <18 ,22333
Prosperous Acheivers,Household Composition: 1 Adult- Children <18 ,24809
Young Affluent Mobiles,Household Composition: 1 Adult- Children <18 ,7444
Upscale Matures,Household Composition: 1 Adult- Children <18 ,2482
Elite Households,Household Composition: 1 Adult- Children <18 ,111662
Young Upscale Families,Household Composition: 1 Adult- Children <18 ,203432
Elder Midscale Class,Household Composition: 1 Adult- Children <18 ,18605
Comfortable Retirees,Household Composition: 1 Adult- Children <18 ,17362
Mass Markets,Household Composition: 1 Adult- Children <18 ,536062
Young Urban Masses,Household Composition: 1 Adult- Children <18 ,408240
Diverse Workers,Household Composition: 1 Adult- Children <18 ,760643
Modest Families,Household Composition: 1 Adult- Children <18 ,705922
Well-heeled Affluents,Household Composition: 1 Adult- No Children <18 ,217123
Prosperous Acheivers,Household Composition: 1 Adult- No Children <18 ,575557
Young Affluent Mobiles,Household Composition: 1 Adult- No Children <18 ,1232068
Upscale Matures,Household Composition: 1 Adult- No Children <18 ,863615
Elite Households,Household Composition: 1 Adult- No Children <18 ,191068
Young Upscale Families,Household Composition: 1 Adult- No Children <18 ,672460
Elder Midscale Class,Household Composition: 1 Adult- No Children <18 ,2212225
Comfortable Retirees,Household Composition: 1 Adult- No Children <18 ,2227562
Mass Markets,Household Composition: 1 Adult- No Children <18 ,1611691
Young Urban Masses,Household Composition: 1 Adult- No Children <18 ,1837742
Diverse Workers,Household Composition: 1 Adult- No Children <18 ,3930258
Modest Families,Household Composition: 1 Adult- No Children <18 ,1480066
Well-heeled Affluents,Household Composition: Married Couple- Children <18 ,389583
Prosperous Acheivers,Household Composition: Married Couple- Children <18 ,148847
Young Affluent Mobiles,Household Composition: Married Couple- Children <18 ,259292
Upscale Matures,Household Composition: Married Couple- Children <18 ,7445
Elite Households,Household Composition: Married Couple- Children <18 ,1867206
Young Upscale Families,Household Composition: Married Couple- Children <18 ,1985739
Elder Midscale Class,Household Composition: Married Couple- Children <18 ,44653
Comfortable Retirees,Household Composition: Married Couple- Children <18 ,31016
Mass Markets,Household Composition: Married Couple- Children <18 ,2215964
Young Urban Masses,Household Composition: Married Couple- Children <18 ,1055976
Diverse Workers,Household Composition: Married Couple- Children <18 ,838778
Modest Families,Household Composition: Married Couple- Children <18 ,332496
Well-heeled Affluents,Household Composition: Married Couple- Children <18 and 18+ ,213406
Prosperous Acheivers,Household Composition: Married Couple- Children <18 and 18+ ,120314
Young Affluent Mobiles,Household Composition: Married Couple- Children <18 and 18+ ,7444
Upscale Matures,Household Composition: Married Couple- Children <18 and 18+ ,14890
Elite Households,Household Composition: Married Couple- Children <18 and 18+ ,321294
Young Upscale Families,Household Composition: Married Couple- Children <18 and 18+ ,522268
Elder Midscale Class,Household Composition: Married Couple- Children <18 and 18+ ,48372
Comfortable Retirees,Household Composition: Married Couple- Children <18 and 18+ ,26046
Mass Markets,Household Composition: Married Couple- Children <18 and 18+ ,595606
Young Urban Masses,Household Composition: Married Couple- Children <18 and 18+ ,141455
Diverse Workers,Household Composition: Married Couple- Children <18 and 18+ ,275472
Modest Families,Household Composition: Married Couple- Children <18 and 18+ ,52107
Well-heeled Affluents,Household Composition: Married Couple- Children 18+ ,500007
Prosperous Acheivers,Household Composition: Married Couple- Children 18+ ,436688
Young Affluent Mobiles,Household Composition: Married Couple- Children 18+ ,379731
Upscale Matures,Household Composition: Married Couple- Children 18+ ,147660
Elite Households,Household Composition: Married Couple- Children 18+ ,202170
Young Upscale Families,Household Composition: Married Couple- Children 18+ ,529772
Elder Midscale Class,Household Composition: Married Couple- Children 18+ ,198495
Comfortable Retirees,Household Composition: Married Couple- Children 18+ ,62030
Mass Markets,Household Composition: Married Couple- Children 18+ ,395788
Young Urban Masses,Household Composition: Married Couple- Children 18+ ,167482
Diverse Workers,Household Composition: Married Couple- Children 18+ ,196067
Modest Families,Household Composition: Married Couple- Children 18+ ,17369
Well-heeled Affluents,Household Composition: Married Couple Only ,935493
Prosperous Acheivers,Household Composition: Married Couple Only ,1822369
Young Affluent Mobiles,Household Composition: Married Couple Only ,1759577
Upscale Matures,Household Composition: Married Couple Only ,1535035
Elite Households,Household Composition: Married Couple Only ,569392
Young Upscale Families,Household Composition: Married Couple Only ,1436742
Elder Midscale Class,Household Composition: Married Couple Only ,1852262
Comfortable Retirees,Household Composition: Married Couple Only ,631447
Mass Markets,Household Composition: Married Couple Only ,1246823
Young Urban Masses,Household Composition: Married Couple Only ,615415
Diverse Workers,Household Composition: Married Couple Only ,1068468
Modest Families,Household Composition: Married Couple Only ,121582
Well-heeled Affluents,Household Composition: No Married Couple- Other Adults ,250627
Prosperous Acheivers,Household Composition: No Married Couple- Other Adults ,378322
Young Affluent Mobiles,Household Composition: No Married Couple- Other Adults ,1666483
Upscale Matures,Household Composition: No Married Couple- Other Adults ,269276
Elite Households,Household Composition: No Married Couple- Other Adults ,369735
Young Upscale Families,Household Composition: No Married Couple- Other Adults ,865935
Elder Midscale Class,Household Composition: No Married Couple- Other Adults ,570660
Comfortable Retirees,Household Composition: No Married Couple- Other Adults ,353551
Mass Markets,Household Composition: No Married Couple- Other Adults ,1887186
Young Urban Masses,Household Composition: No Married Couple- Other Adults ,2145376
Diverse Workers,Household Composition: No Married Couple- Other Adults ,2007786
Modest Families,Household Composition: No Married Couple- Other Adults ,1052064
Well-heeled Affluents,"Household Income: $10,000-$19,999 ",0
Prosperous Acheivers,"Household Income: $10,000-$19,999 ",0
