Location,Location2,Location3,State,County,Land Area,WaterArea,Latitude,Longitude,Population Growth Rate,WhitePopulation,BlackPopulation,HispanicPopulation,AsianPopulation,HawaiianPopulation,IndianPopulation,OtherPopulation,MalePopulation,FemalePopulation,Number of Burgalaries reported,MedianAge,Crime Rate,Homicide Reported,CBSA_Type,FinanceNumber,Property Crime Rate,Housing Construction,HouseholdsPerZipCode,AverageHouseValue,Elevation
Alabama|Butler ,Butler ,Butler ,AL,Choctaw,113.468,0.4855,32.090524,-88.232843,2.82%,1286,752,14,6,1,7,12,984,1066,4,44.9,46,,,11280,17.5,2.06%,882,63100,172
Alabama|Cedar Bluff ,Cedar Bluff ,Cedar Bluff ,AL,Cherokee,31.1955,10.457,34.254859,-85.610168,-1.38%,2252,157,23,12,3,29,10,1197,1222,6,45.6,147,,,11510,67.5,-0.27%,1016,108000,658
Alabama|Centre ,Centre ,Centre ,AL,Cherokee,71.533,8.817,34.121219,-85.59266,-0.16%,4650,364,54,15,2,64,19,2474,2570,3,45,201,,,11550,95.5,-0.58%,2074,111700,658
Alabama|Cherokee ,Cherokee ,Cherokee ,AL,Colbert,105.4785,6.976,34.741038,-87.992533,-1.65%,1742,269,27,6,1,19,16,985,1037,3,45.2,33,,Metro,11650,13,0.98%,853,75700,470
Alabama|Citronelle ,Citronelle ,Citronelle ,AL,Mobile,110.034,0.632,31.034107,-88.265638,2.44%,2675,624,78,18,2,302,49,1748,1844,13,37.1,193,,Metro,11740,79,0.43%,1298,101700,8
Alabama|Clanton ,Clanton ,Clanton ,AL,Chilton,126.884,4.038,32.826962,-86.669067,0.97%,5976,1092,518,47,9,49,361,3619,3817,17,38.1,703,0.5,Metro,11770,329,-0.99%,2867,99800,599
Alabama|Coaling ,Coaling ,Coaling ,AL,Tuscaloosa,0,0,33.1588,-87.3406,,0,0,0,0,0,0,0,0,0,5,0,90,,Metro,11860,37.5,,0,0,227
Alabama|Collinsville ,Collinsville ,Collinsville ,AL,De Kalb,63.936,0.232,34.292002,-85.8838,-10.98%,2456,153,721,13,29,89,598,1624,1633,3,35.7,68,,,11950,30.5,-5.88%,1143,61300,899
Alabama|Cordova ,Cordova ,Cordova ,AL,Walker,32.903,0.6875,33.737392,-87.15343,-3.10%,2566,221,37,8,2,29,18,1331,1472,6,42.1,58,,Metro,12030,23,-4.24%,1134,62100,307
Alabama|Creola ,Creola ,Creola ,AL,Mobile,8.374,0.477,30.935892,-87.996768,8.52%,837,98,30,3,1,28,19,504,464,5,35.8,54,,Metro,12160,22.5,4.90%,349,130600,8
Alabama|Crossville ,Crossville ,Crossville ,AL,De Kalb,39.351,0.0365,34.29675,-86.040706,18.52%,3245,23,951,7,13,125,828,2058,2092,1,34.4,29,,,12200,13.5,5.09%,1414,78500,899
Alabama|Cullman ,Cullman ,Cullman ,AL,Cullman,129.8335,2.788,34.14938,-86.747356,3.81%,9184,102,754,85,9,92,354,4653,5061,10,39.2,702,,Micro,12220,338,1.05%,4014,112700,799
Alabama|Dadeville ,Dadeville ,Dadeville ,AL,Tallapoosa,90.723,9.3515,32.830089,-85.752156,-0.90%,3160,946,34,18,1,30,19,2016,2119,14,47.7,148,,,12260,53.5,1.86%,1749,120100,717
Alabama|Daleville ,Daleville ,Daleville ,AL,Dale,31.2545,0.061,31.232988,-85.738221,-2.11%,3410,920,448,131,19,109,141,2312,2224,10,36.6,120,,Micro,12270,48.5,1.83%,1943,95600,409
Alabama|Daphne ,Daphne ,Daphne ,AL,Baldwin,18.6995,0.6655,30.604252,-87.858161,4.28%,11788,1838,382,248,15,111,129,6794,7152,15,38.9,518,,Metro,12300,238.5,0.20%,5546,187500,278
Alabama|Dauphin Island ,Dauphin Island ,Dauphin Island ,AL,Mobile,3.186,13.736,30.256738,-88.19395,-3.56%,608,5,5,2,1,9,1,318,301,2,53,59,,Metro,12320,27.5,4.40%,291,225800,8
Alabama|Decatur ,Decatur ,Decatur ,AL,Morgan,49.224,6.4825,34.620893,-87.013675,-0.09%,10397,4667,3095,119,53,232,2187,8558,8660,40,36.1,2563,,Metro,12380,1225.5,1.33%,6633,97000,573
Alabama|Demopolis ,Demopolis ,Demopolis ,AL,Marengo,63.9885,1.3605,32.415375,-87.918823,1.57%,1926,2220,92,26,2,14,47,1901,2297,20,38.3,331,,,12420,141.5,4.20%,1729,125000,162
Alabama|Dora ,Dora ,Dora ,AL,Jefferson,22.4465,0.1525,33.719829,-87.042008,5.23%,3837,107,18,5,5,34,11,1966,2006,6,40.3,134,,Metro,12480,56.5,1.83%,1515,119800,600
Alabama|Douglas ,Douglas ,Douglas ,AL,Marshall,0,0,34.1738,-86.3239,,0,0,0,0,0,0,0,0,0,4,0,92,,Micro,12510,42,,0,0,592
Alabama|Eclectic ,Eclectic ,Eclectic ,AL,Elmore,44.949,3.49,32.63024,-86.024291,-3.94%,2408,292,21,11,3,30,6,1324,1391,3,43.8,74,,Metro,12620,33.5,-0.78%,1100,124300,177
Alabama|Elba ,Elba ,Elba ,AL,Coffee,115.651,0.3445,31.419842,-86.089185,-1.37%,3076,963,54,11,5,123,39,2059,2069,4,42.1,119,,Micro,12680,54,-1.77%,1660,83100,193
Alabama|Elberta ,Elberta ,Elberta ,AL,Baldwin,48.308,3.4075,30.407426,-87.54188,-0.22%,3303,45,122,30,3,58,63,1726,1711,,43.7,12,0.5,Metro,12690,4,-1.11%,1391,165600,278
Alabama|Enterprise ,Enterprise ,Enterprise ,AL,Coffee,60.093,0.044,31.368425,-85.869335,0.54%,13151,3376,1682,495,78,273,960,8780,8986,38,34.9,1059,,Micro,12760,477,2.18%,7001,149700,193
Alabama|Eufaula ,Eufaula ,Eufaula ,AL,Barbour,144.4255,9.877,31.941874,-85.207438,-0.81%,4227,3638,337,51,13,76,207,3805,4326,28,39.6,551,0.5,,12830,239,-0.61%,3249,113800,596
Alabama|Eutaw ,Eutaw ,Eutaw ,AL,Greene,156.465,2.0235,32.946504,-88.008885,4.39%,458,2056,27,8,0,9,13,1175,1356,16,43.5,148,,,12840,57,1.24%,1056,83100,220
Alabama|Evergreen ,Evergreen ,Evergreen ,AL,Conecuh,228.4255,0.62,31.494984,-86.913842,2.58%,1825,2289,63,13,4,26,43,1994,2164,11,41.3,237,0.5,,12860,105,-0.10%,1744,75800,258
Alabama|Fairhope ,Fairhope ,Fairhope ,AL,Baldwin,36.869,3.268,30.482441,-87.866974,2.33%,12592,1098,403,96,10,78,172,6615,7300,22,44.8,618,,Metro,12930,282,-2.16%,5807,222400,278
Alabama|Fayette ,Fayette ,Fayette ,AL,Fayette,157.9765,0.85,33.643583,-87.82754,-0.75%,4147,901,74,20,1,44,39,2480,2609,6,42.9,94,,,12990,39.5,-0.27%,2120,82000,360
Alabama|Flomaton ,Flomaton ,Flomaton ,AL,Escambia,29.3375,0.364,31.059606,-87.259381,-0.79%,1510,232,35,7,3,51,13,857,931,6,40.1,77,,,13090,31,-0.49%,735,76000,82
Alabama|Florence ,Florence ,Florence ,AL,Lauderdale,147.873,10.7355,34.830274,-87.664543,1.59%,12052,3769,650,277,16,170,387,7472,8843,66,35.5,1678,0.5,Metro,13110,738,0.24%,7353,94500,506
Alabama|Foley ,Foley ,Foley ,AL,Baldwin,45.7415,2.207,30.383821,-87.715678,-0.73%,11034,1534,1415,140,21,183,733,6489,6895,18,40.9,834,0.5,Metro,13120,391.5,6.01%,5422,161200,278
Alabama|Frisco City ,Frisco City ,Frisco City ,AL,Monroe,77.0195,0.201,31.440041,-87.467818,-5.16%,1806,683,29,7,3,62,13,1220,1306,2,40.5,37,,,13260,15.5,1.48%,1003,68000,418
Alabama|Fyffe ,Fyffe ,Fyffe ,AL,De Kalb,28.3585,0,34.469611,-85.954492,-6.76%,2359,22,56,7,2,96,39,1223,1235,2,40.7,30,,,13320,13,-8.56%,959,73800,899
Alabama|Gadsden ,Gadsden ,Gadsden ,AL,Etowah,118.4335,5.2625,34.052526,-85.928538,-0.10%,6365,3375,364,87,62,97,186,4796,5227,118,40.6,3164,1.5,Metro,13330,1403,-0.68%,4030,112200,554
Alabama|Gardendale ,Gardendale ,Gardendale ,AL,Jefferson,28.5375,0.0885,33.706944,-86.863814,0.56%,7035,668,114,109,6,43,59,3643,4188,9,41.9,591,,Metro,13410,281,-0.48%,3202,166100,600
Alabama|Geneva ,Geneva ,Geneva ,AL,Geneva,23.722,0.317,31.076365,-85.907536,-10.58%,2367,359,53,13,1,28,19,1321,1425,11,42.6,209,,Metro,13470,93,-6.27%,1120,82700,105
Alabama|Georgiana ,Georgiana ,Georgiana ,AL,Butler,117.2895,0.0825,31.653652,-86.736544,3.41%,1265,883,10,5,1,9,5,1020,1130,9,45.8,104,,,13480,41,0.00%,881,62400,423
Alabama|Grant ,Grant ,Grant ,AL,Marshall,37.2625,1.8305,34.507324,-86.323954,-2.30%,2904,18,35,15,3,51,9,1465,1486,3,40.5,85,,Micro,13670,37.5,-1.98%,1160,102400,592
Alabama|Greenville ,Greenville ,Greenville ,AL,Butler,180.276,0.345,31.744197,-86.646382,1.18%,3608,3312,77,88,5,39,28,3276,3762,20,38.1,384,1.5,,13720,168,2.14%,2848,91000,423
Alabama|Gulf Shores ,Gulf Shores ,Gulf Shores ,AL,Baldwin,26.244,11.4365,30.283142,-87.799794,1.43%,6019,141,273,66,7,107,142,3139,3214,14,41.9,706,0.5,Metro,13780,332.5,6.22%,2891,241300,278
Alabama|Guntersville ,Guntersville ,Guntersville ,AL,Marshall,63.9585,17.674,34.335984,-86.310172,3.92%,7440,417,305,90,4,101,210,3967,4169,12,43.9,602,,Micro,13790,280,0.30%,3354,146400,592
Alabama|Gurley ,Gurley ,Gurley ,AL,Madison,40.485,0.2865,34.727256,-86.383704,1.92%,2802,252,55,34,7,89,24,1582,1557,2,43.4,37,,Metro,13800,16.5,0.14%,1215,124100,610
Alabama|Hamilton ,Hamilton ,Hamilton ,AL,Marion,119.502,0.0485,34.17824,-87.976578,1.05%,5150,339,148,21,6,45,80,2855,2718,5,42.6,164,,,13860,73.5,1.57%,2225,77100,498
Alabama|Hanceville ,Hanceville ,Hanceville ,AL,Cullman,75.2635,0.5785,34.015502,-86.826142,-3.63%,6113,315,225,36,3,71,129,3239,3332,4,40.3,134,,Micro,13880,62.5,-0.68%,2583,89500,799
Alabama|Hartford ,Hartford ,Hartford ,AL,Geneva,64.277,0.491,31.095364,-85.71676,4.68%,2533,302,80,10,4,44,36,1402,1465,5,42.5,87,,Metro,13920,37,1.89%,1166,87700,105
Alabama|Hartselle ,Hartselle ,Hartselle ,AL,Morgan,54.9205,0.557,34.432986,-86.931126,-0.78%,11471,426,262,63,10,217,148,5956,6178,6,39.5,349,,Metro,13930,165.5,-2.25%,4812,117200,573
Alabama|Headland ,Headland ,Headland ,AL,Henry,61.4295,0.0135,31.349864,-85.321351,5.35%,2944,923,78,15,1,29,43,1846,2066,2,39.6,77,,Metro,14010,37,1.32%,1543,122200,499
Alabama|Helena ,Helena ,Helena ,AL,Shelby,21.774,0.569,33.249186,-86.920428,2.60%,6883,819,274,154,11,48,133,3823,4118,6,34.2,162,0.5,Metro,14050,72.5,3.98%,2846,173500,524
Alabama|Henagar ,Henagar ,Henagar ,AL,De Kalb,33.701,0.0705,34.640756,-85.720746,7.48%,2621,3,53,6,3,102,22,1346,1349,1,40.3,42,,,14060,20.5,-0.96%,1067,84200,899
Alabama|Huntsville ,Huntsville ,Huntsville ,AL,Madison,131.651,3.6115,34.7114,-86.549321,1.62%,9448,1086,237,184,14,158,83,5297,5458,479,44,10628,7.5,Metro,14240,4580.5,0.80%,4926,219900,610
Alabama|Ider ,Ider ,Ider ,AL,De Kalb,11.5565,0,34.712308,-85.64089,-7.03%,1048,3,8,3,0,36,4,514,557,2,41.1,39,,,14300,17.5,-10.12%,429,97400,899
Alabama|Jacksonville ,Jacksonville ,Jacksonville ,AL,Calhoun,49.7385,0.1545,33.855077,-85.77596,-1.93%,8354,1997,224,155,25,103,88,5046,5484,22,30.1,527,0.5,Metro,14380,230,-2.85%,4132,129700,730
Alabama|Jasper ,Jasper ,Jasper ,AL,Walker,113.265,2.813,33.81175,-87.28349,-0.06%,4082,960,276,20,11,54,180,2508,2705,41,39.9,1231,0.5,Metro,14400,558,1.19%,2079,99200,307
Alabama|Killen ,Killen ,Killen ,AL,Lauderdale,43.136,3.461,34.901468,-87.50142,-3.16%,6801,173,90,38,2,54,37,3427,3604,1,40.8,38,,Metro,14580,18.5,-0.32%,2701,122800,506
Alabama|Kinston ,Kinston ,Kinston ,AL,Coffee,46.3375,0.338,31.201043,-86.150796,6.63%,1041,14,18,7,1,54,5,534,565,2,45.6,31,,Micro,14610,13.5,1.96%,452,65500,193
Alabama|Lafayette ,Lafayette ,Lafayette ,AL,Chambers,119.83,0.474,32.916954,-85.439526,-1.35%,1418,1879,54,13,1,11,24,1573,1739,11,43.3,104,,Micro,14680,41,0.04%,1310,82400,862
Alabama|Lanett ,Lanett ,Lanett ,AL,Chambers,43.9595,1.067,32.896902,-85.255222,-0.25%,3289,2502,108,16,2,42,65,2763,3073,27,42.2,562,0.5,Micro,14720,245.5,1.01%,2430,79400,862
Alabama|Leeds ,Leeds ,Leeds ,AL,Jefferson,28.7635,0.807,33.513635,-86.577822,-3.02%,5929,927,393,58,10,72,255,3451,3655,21,39.4,583,1,Metro,14810,261,-3.08%,2893,138200,600
Alabama|Leesburg ,Leesburg ,Leesburg ,AL,Cherokee,25.059,3.3925,34.170708,-85.758333,0.61%,1786,67,22,3,1,29,12,924,946,3,42,57,0.5,,14820,25.5,-3.73%,759,76500,658
Alabama|Leighton ,Leighton ,Leighton ,AL,Colbert,46.831,0.206,34.668356,-87.530076,0.20%,1696,571,64,2,1,47,37,1122,1196,8,43.2,59,,Metro,14830,20,3.26%,951,87100,470
Alabama|Lincoln ,Lincoln ,Lincoln ,AL,Talladega,39.437,2.7385,33.620913,-86.116838,-7.20%,3054,814,77,21,6,50,37,1933,1975,11,39.5,385,0.5,Micro,14920,175,-4.73%,1515,87300,555
Alabama|Linden ,Linden ,Linden ,AL,Marengo,76.829,0.1595,32.288776,-87.83664,-0.72%,902,715,29,3,8,8,13,766,864,4,44.8,85,,,14930,38,-3.31%,683,76500,162
Alabama|Lineville ,Lineville ,Lineville ,AL,Clay,89.3085,0.512,33.334066,-85.75278,-4.47%,2207,565,97,5,2,34,39,1368,1424,6,42.5,37,,,14940,11.5,-4.34%,1121,103500,1130
Alabama|Livingston ,Livingston ,Livingston ,AL,Sumter,132.8225,1.651,32.556069,-88.113219,-5.10%,887,1829,15,16,3,6,9,1258,1477,8,30,103,,,14990,40.5,-0.59%,1092,100500,135
Alabama|Luverne ,Luverne ,Luverne ,AL,Crenshaw,79.916,0.328,31.740942,-86.28964,0.69%,2087,662,44,85,4,33,28,1358,1496,8,40.3,79,,,15090,32,4.03%,1151,77500,366
Alabama|Madison ,Madison ,Madison ,AL,Limestone,57.7355,2.791,34.656364,-86.814394,2.20%,3022,1167,149,298,3,61,60,2208,2300,59,36.1,1093,1,Metro,15180,471.5,2.76%,1660,189800,720
Alabama|Maplesville ,Maplesville ,Maplesville ,AL,Chilton,57.173,0.2015,32.791824,-86.856422,-9.49%,1111,309,41,5,4,10,30,745,706,4,37.2,39,,Metro,15300,15,-2.64%,555,75500,599
Alabama|Margaret ,Margaret ,Margaret ,AL,Saint Clair,1.2305,0.009,33.678102,-86.477924,-32.23%,291,98,6,13,0,9,5,202,199,2,36.9,21,,Metro,15320,8.5,-15.79%,149,76500,570
Alabama|Midland City ,Midland City ,Midland City ,AL,Dale,32.1125,0.0145,31.411345,-85.495512,-6.58%,2632,595,90,42,4,62,52,1576,1694,6,35.5,124,,Micro,15480,56,-3.08%,1302,106900,409
Alabama|Millbrook ,Millbrook ,Millbrook ,AL,Elmore,12.174,0.749,32.467355,-86.359491,3.82%,5570,1762,311,88,13,71,181,3649,3885,19,34.1,753,0.5,Metro,15510,339.5,6.33%,2794,135800,177
Alabama|Monroeville ,Monroeville ,Monroeville ,AL,Monroe,69.119,0.065,31.499156,-87.329404,-3.75%,2810,2521,57,36,2,55,26,2567,2803,30,39.2,483,0.5,,15610,208,-5.95%,2132,90800,418
Alabama|Montevallo ,Montevallo ,Montevallo ,AL,Shelby,62.4005,0.5335,33.10944,-86.893998,-0.57%,5510,1219,641,42,4,64,336,3394,3665,8,32.4,179,,Metro,15620,77,-0.86%,2613,124900,524
Alabama|Montgomery ,Montgomery ,Montgomery ,AL,Montgomery,162.2645,5.6785,32.3667,-86.3002,-0.89%,0,0,0,0,0,0,0,0,0,263,0,10071,17.5,Metro,15630,4512.5,-0.07%,0,0,160
Alabama|Moody ,Moody ,Moody ,AL,Saint Clair,9.035,0.0715,33.603374,-86.494434,2.11%,4604,494,107,103,2,44,46,2519,2695,6,34.5,236,,Metro,15650,110.5,1.06%,2107,137200,570
Alabama|Morris ,Morris ,Morris ,AL,Jefferson,11.074,0.0055,33.726373,-86.768351,-0.05%,2079,22,20,4,2,20,9,1029,1091,0,42,33,,Metro,15670,16.5,5.51%,814,147900,600
Alabama|Moulton ,Moulton ,Moulton ,AL,Lawrence,105.796,0.66,34.460601,-87.318804,1.88%,6201,379,118,34,4,674,47,3392,3594,2,40.8,78,,Metro,15690,35,-0.10%,2788,103100,650
Alabama|Moundville ,Moundville ,Moundville ,AL,Hale,100.4,0.9045,32.945918,-87.585254,6.90%,1969,1090,46,14,1,30,19,1498,1593,3,37.3,93,,Metro,15700,43,7.19%,1159,96200,290
Alabama|Muscle Shoals ,Muscle Shoals ,Muscle Shoals ,AL,Colbert,27.958,4.808,34.772352,-87.554916,-0.82%,6847,1317,215,78,4,85,126,4014,4295,13,41.3,831,,Metro,15840,393,-1.37%,3406,127300,470
Alabama|New Brockton ,New Brockton ,New Brockton ,AL,Coffee,40.565,0.031,31.401556,-85.926825,-4.29%,1340,161,33,16,1,80,13,775,799,0,42.8,34,,Micro,15960,16.5,-3.86%,637,86200,193
Alabama|New Hope ,New Hope ,New Hope ,AL,Madison,26.461,0.218,34.55557,-86.403022,-2.74%,2456,18,34,13,1,92,14,1243,1290,6,40.2,64,,Metro,15990,26.5,-1.28%,1025,81800,610
Alabama|Newton ,Newton ,Newton ,AL,Dale,35.4325,0.0145,31.275109,-85.621913,1.21%,2234,154,82,20,3,66,36,1220,1223,1,40.1,59,,Micro,16010,27.5,0.36%,967,109800,409
Alabama|Northport ,Northport ,Northport ,AL,Tuscaloosa,122.835,4.102,33.276438,-87.583446,3.17%,5885,1347,237,129,7,53,120,3591,3864,24,37.3,1082,,Metro,16070,496,0.92%,3111,161500,227
Alabama|Notasulga ,Notasulga ,Notasulga ,AL,Macon,44.534,0.3005,32.568498,-85.7023,-2.35%,1264,707,24,6,3,14,11,964,1014,3,39.9,67,,,16080,30.5,1.64%,819,70100,468
Alabama|Odenville ,Odenville ,Odenville ,AL,Saint Clair,33.752,0.1915,33.672962,-86.397935,2.16%,6330,486,145,42,9,60,82,3443,3479,7,35.2,64,,Metro,16120,23.5,1.83%,2484,132000,570
Alabama|Ohatchee ,Ohatchee ,Ohatchee ,AL,Calhoun,41.0255,1.54,33.778026,-86.029122,4.63%,2837,146,38,7,13,46,19,1545,1467,0,40.6,23,,Metro,16130,11.5,1.90%,1177,89700,730
Alabama|Oneonta ,Oneonta ,Oneonta ,AL,Blount,71.9115,1.045,33.946378,-86.434454,-1.86%,6783,240,1273,28,4,80,736,3809,3977,6,39.3,230,,Metro,16150,104,0.57%,2917,111900,885
Alabama|Opelika ,Opelika ,Opelika ,AL,Lee,132.321,0.9635,32.683322,-85.403409,0.01%,5640,4991,540,205,22,64,338,5264,5843,71,35.7,1810,0.5,Metro,16160,811,0.15%,4451,144100,822
Alabama|Opp ,Opp ,Opp ,AL,Covington,82.774,0.8445,31.276788,-86.28336,1.11%,4360,621,48,20,0,76,19,2385,2644,9,43,143,,,16170,60.5,-1.01%,2070,70300,349
Alabama|Oxford ,Oxford ,Oxford ,AL,Calhoun,19.134,0.377,33.57543,-85.849327,-1.21%,7509,1344,733,129,13,78,471,4540,4860,30,37.5,1113,1,Metro,10300,520,-1.69%,3557,127700,730
Alabama|Ozark ,Ozark ,Ozark ,AL,Dale,90.4185,0.196,31.454652,-85.643994,0.58%,7231,2703,278,113,17,163,109,4824,5255,22,41.5,967,0.5,Micro,16220,450,-0.36%,4181,96300,409
Alabama|Pelham ,Pelham ,Pelham ,AL,Shelby,20.7795,0.3165,33.309422,-86.764955,-0.20%,9611,843,1595,349,19,83,795,5599,5911,5,36.5,433,,Metro,16320,206.5,1.46%,4407,174900,524
Alabama|Pell City ,Pell City ,Pell City ,AL,Saint Clair,55.75,2.622,33.630641,-86.293897,3.13%,4640,516,125,27,9,57,81,2524,2704,6,36.2,305,,Metro,16330,143,4.12%,1974,101900,570
Alabama|Phenix City ,Phenix City ,Phenix City ,AL,Russell,56.0295,0.404,32.49148,-85.031052,6.55%,6994,3922,379,152,32,111,158,5107,5998,83,33.7,2499,2,Metro,16430,1125,4.21%,4650,118500,275
Alabama|Piedmont ,Piedmont ,Piedmont ,AL,Calhoun,168.5405,0.695,33.913376,-85.594802,1.67%,6268,387,79,21,8,93,34,3345,3350,8,41.1,227,,Metro,16460,103.5,6.97%,2712,75100,730
Alabama|Pine Hill ,Pine Hill ,Pine Hill ,AL,Wilcox,73.257,0.8095,31.997468,-87.543895,12.05%,487,1015,9,2,0,7,1,714,794,3,36.4,41,,,16510,16.5,5.49%,566,53200,207
Alabama|Prattville ,Prattville ,Prattville ,AL,Autauga,129.5505,2.685,32.500665,-86.419379,3.49%,8006,1238,294,267,16,86,116,4544,5001,19,36.1,1355,,Metro,16680,637,3.81%,3674,155500,193
Alabama|Ragland ,Ragland ,Ragland ,AL,Saint Clair,44.985,1.492,33.727324,-86.190339,-7.59%,1910,155,32,4,3,8,23,1042,1038,1,39.4,18,,Metro,16770,8.5,-4.89%,801,81100,570
